year_published,journal,title,abstract,lens_id,pmid
2012,BMJ (Clinical research ed.),Assessing the risk of venous thromboembolic events in women taking progestin-only contraception: a meta-analysis,"Objectives To evaluate the risk of venous thromboembolic events associated with the use of progestin-only contraception and whether that risk differs with the mode of drug delivery (oral, intrauterine, or depot injection). Design Systematic review and meta-analysis of randomised controlled trials and observational studies. Data sources Pubmed, Embase, Cochrane Library, and reference lists of relevant reviews. Study selection Randomised controlled trials and case-control, cohort, and cross sectional studies with venous thromboembolic outcome for progestin-only contraception reported relative to a non-hormone comparator group. Data extraction Data were extracted by two independent investigators, and consensus for inclusion was reached after assessment by additional investigators. Results Among the 2022 unique references identified by all searches, eight observational studies fulfilled inclusion criteria. A total of 147 women across all studies were diagnosed with a venous thromboembolic event while taking progestin-only contraception, and the summary measure for the adjusted relative risk of a venous thromboembolic episode for users versus non-users of a progestin-only contraceptive was, based on the random effects model, 1.03 (95% CI 0.76 to 1.39). Subgroup analysis confirmed there was no association between venous thromboembolic risk and progestin-only pills (relative risk 0.90 (0.57 to 1.45)) or a progestin intrauterine device (0.61 (0.24 to 1.53)). The relative risk of a venous thromboembolic event for users of an injectable progestin versus non-users was 2.67 (1.29 to 5.53). Conclusions Published data assessing the risk of venous thromboembolism in women prescribed progestin-only contraception are limited. In this meta-analysis of eight observational studies, the use of progestin-only contraception was not associated with an increased risk of venous thromboembolism compared with non-users of hormonal contraception. The potential association between injectable progestins and thrombosis requires further study.",031-111-927-290-565,22872710
2020,BMJ (Clinical research ed.),"Associations between high temperatures in pregnancy and risk of preterm birth, low birth weight, and stillbirths: systematic review and meta-analysis.","Abstract Objective To assess whether exposure to high temperatures in pregnancy is associated with increased risk for preterm birth, low birth weight, and stillbirth. Design Systematic review and random effects meta-analysis. Data sources Medline and Web of Science searched up to September 2018, updated in August 2019. Eligibility criteria for selecting studies Clinical studies on associations between high environmental temperatures, and preterm birth, birth weight, and stillbirths. Results 14 880 records and 175 full text articles were screened. 70 studies were included, set in 27 countries, seven of which were countries with low or middle income. In 40 of 47 studies, preterm births were more common at higher than lower temperatures. Exposures were classified as heatwaves, 1°C increments, and temperature threshold cutoff points. In random effects meta-analysis, odds of a preterm birth rose 1.05-fold (95% confidence interval 1.03 to 1.07) per 1°C increase in temperature and 1.16-fold (1.10 to 1.23) during heatwaves. Higher temperature was associated with reduced birth weight in 18 of 28 studies, with considerable statistical heterogeneity. Eight studies on stillbirths all showed associations between temperature and stillbirth, with stillbirths increasing 1.05-fold (1.01 to 1.08) per 1°C rise in temperature. Associations between temperature and outcomes were largest among women in lower socioeconomic groups and at age extremes. The multiple temperature metrics and lag analyses limited comparison between studies and settings. Conclusions Although summary effect sizes are relatively small, heat exposures are common and the outcomes are important determinants of population health. Linkages between socioeconomic status and study outcomes suggest that risks might be largest in low and middle income countries. Temperature rises with global warming could have major implications for child health. Systematic review registration PROSPERO CRD 42019140136 and CRD 42018118113.",032-413-988-828-031,33148618
2016,BMJ (Clinical research ed.),Addition of dipeptidyl peptidase-4 inhibitors to sulphonylureas and risk of hypoglycaemia: systematic review and meta-analysis,"Objective  To quantify the risk of hypoglycaemia associated with the concomitant use of dipeptidyl peptidase-4 (DPP-4) inhibitors and sulphonylureas compared with placebo and sulphonylureas. Design  Systematic review and meta-analysis. Data sources  Medline, ISI Web of Science, SCOPUS, Cochrane Central Register of Controlled Trials, and clinicaltrial.gov were searched without any language restriction. Study selection  Placebo controlled randomised trials comprising at least 50 participants with type 2 diabetes treated with DPP-4 inhibitors and sulphonylureas. Review methods  Risk of bias in each trial was assessed using the Cochrane Collaboration tool. The risk ratio of hypoglycaemia with 95% confidence intervals was computed for each study and then pooled using fixed effect models (Mantel Haenszel method) or random effect models, when appropriate. Subgroup analyses were also performed (eg, dose of DPP-4 inhibitors). The number needed to harm (NNH) was estimated according to treatment duration. Results  10 studies were included, representing a total of 6546 participants (4020 received DPP-4 inhibitors plus sulphonylureas, 2526 placebo plus sulphonylureas). The risk ratio of hypoglycaemia was 1.52 (95% confidence interval 1.29 to 1.80). The NNH was 17 (95% confidence interval 11 to 30) for a treatment duration of six months or less, 15 (9 to 26) for 6.1 to 12 months, and 8 (5 to 15) for more than one year. In subgroup analysis, no difference was found between full and low doses of DPP-4 inhibitors: the risk ratio related to full dose DPP-4 inhibitors was 1.66 (1.34 to 2.06), whereas the increased risk ratio related to low dose DPP-4 inhibitors did not reach statistical significance (1.33, 0.92 to 1.94). Conclusions  Addition of DPP-4 inhibitors to sulphonylurea to treat people with type 2 diabetes is associated with a 50% increased risk of hypoglycaemia and to one excess case of hypoglycaemia for every 17 patients in the first six months of treatment. This highlights the need to respect recommendations for a decrease in sulphonylureas dose when initiating DPP-4 inhibitors and to assess the effectiveness of this risk minimisation strategy.",033-343-943-965-45X,27142267
2012,BMJ (Clinical research ed.),Acute cannabis consumption and motor vehicle collision risk: systematic review of observational studies and meta-analysis,"Objective To determine whether the acute consumption of cannabis (cannabinoids) by drivers increases the risk of a motor vehicle collision. Design Systematic review of observational studies, with meta-analysis. Data sources We did electronic searches in 19 databases, unrestricted by year or language of publication. We also did manual searches of reference lists, conducted a search for unpublished studies, and reviewed the personal libraries of the research team. Review methods We included observational epidemiology studies of motor vehicle collisions with an appropriate control group, and selected studies that measured recent cannabis use in drivers by toxicological analysis of whole blood or self report. We excluded experimental or simulator studies. Two independent reviewers assessed risk of bias in each selected study, with consensus, using the Newcastle-Ottawa scale. Risk estimates were combined using random effects models.",037-439-780-763-125,22323502
2020,Annals of internal medicine,Hydroxychloroquine or Chloroquine for Treatment or Prophylaxis of COVID-19: A Living Systematic Review.,This living systematic review summarizes evidence about the benefits and harms of using hydroxychloroquine or chloroquine to treat coronavirus disease 2019.,038-367-342-984-32X,32459529
2017,BMJ (Clinical research ed.),Vitamin D supplementation during pregnancy: state of the evidence from a systematic review of randomised trials,"Objectives To estimate the effects of vitamin D supplementation during pregnancy on 11 maternal and 27 neonatal/infant outcomes; to determine frequencies at which trial outcome data were missing, unreported, or inconsistently reported; and to project the potential contributions of registered ongoing or planned trials.Design Systematic review and meta-analysis of randomised controlled trials; systematic review of registered but unpublished trials.Data sources Medline, Embase, PubMed, Cochrane Database of Systematic Reviews, and Cochrane Central Register of Controlled Trials from inception to September 2017; manual searches of reference lists of systematic reviews identified in the electronic search; and online trial registries for unpublished, ongoing, or planned trials.Eligibility criteria for study selection Trials of prenatal vitamin D supplementation with randomised allocation and control groups administered placebo, no vitamin D, or vitamin D ≤600 IU/day (or its equivalent), and published in a peer reviewed journal.Results 43 trials (8406 participants) were eligible for meta-analyses. Median sample size was 133 participants. Vitamin D increased maternal/cord serum concentration of 25-hydroxyvitamin D, but the dose-response effect was weak. Maternal clinical outcomes were rarely ascertained or reported, but available data did not provide evidence of benefits. Overall, vitamin D increased mean birth weight of 58.33 g (95% confidence interval 18.88 g to 97.78 g; 37 comparisons) and reduced the risk of small for gestational age births (risk ratio 0.60, 95% confidence interval 0.40 to 0.90; seven comparisons), but findings were not robust in sensitivity and subgroup analyses. There was no effect on preterm birth (1.0, 0.77 to 1.30; 15 comparisons). There was strong evidence that prenatal vitamin D reduced the risk of offspring wheeze by age 3 years (0.81, 0.67 to 0.98; two comparisons). For most outcomes, meta-analyses included data from a minority of trials. Only eight of 43 trials (19%) had an overall low risk of bias. Thirty five planned/ongoing randomised controlled trials could contribute 12 530 additional participants to future reviews.Conclusions Most trials on prenatal vitamin D published by September 2017 were small and of low quality. The evidence to date seems insufficient to guide clinical or policy recommendations. Future trials should be designed and powered to examine clinical endpoints, including maternal conditions related to pregnancy (such as pre-eclampsia), infant growth, and respiratory outcomes.Systematic review registration PROSPERO CRD42016051292.",039-390-876-369-585,29187358
2013,BMJ (Clinical research ed.),"Effect of smoking on comparative efficacy of antiplatelet agents: systematic review, meta-analysis, and indirect comparison","Objective To evaluate whether smoking status is associated with the efficacy of antiplatelet treatment in the prevention of cardiovascular events. Design Systematic review, meta-analysis, and indirect comparisons. Data sources Medline (1966 to present) and Embase (1974 to present), with supplementary searches in databases of abstracts from major cardiology conferences, the Cumulative Index to Nursing and Allied Health (CINAHL) and the CAB Abstracts databases, and Google Scholar. Study selection Randomized trials of clopidogrel, prasugrel, or ticagrelor that examined clinical outcomes among subgroups of smokers and nonsmokers. Data extraction Two authors independently extracted all data, including information on the patient populations included in the trials, treatment types and doses, definitions of clinical outcomes and duration of follow-up, definitions of smoking subgroups and number of patients in each group, and effect estimates and 95% confidence intervals for each smoking status subgroup. Results Of nine eligible randomized trials, one investigated clopidogrel compared with aspirin, four investigated clopidogrel plus aspirin compared with aspirin alone, and one investigated double dose compared with standard dose clopidogrel; these trials include 74 489 patients, of whom 21 717 (29%) were smokers. Among smokers, patients randomized to clopidogrel experienced a 25% reduction in the primary composite clinical outcome of cardiovascular death, myocardial infarction, and stroke compared with patients in the control groups (relative risk 0.75, 95% confidence interval 0.67 to 0.83). In nonsmokers, however, clopidogrel produced just an 8% reduction in the composite outcome (0.92, 0.87 to 0.98). Two studies investigated prasugrel plus aspirin compared with clopidogrel plus aspirin, and one study investigated ticagrelor plus aspirin compared with clopidogrel plus aspirin. In smokers, the relative risk was 0.71 (0.61 to 0.82) for prasugrel compared with clopidogrel and 0.83 (0.68 to 1.00) for ticagrelor compared with clopidogrel. Corresponding relative risks were 0.92 (0.83 to 1.01) and 0.89 (0.79 to 1.00) among nonsmokers. Conclusions In randomized clinical trials of antiplatelet drugs, the reported clinical benefit of clopidogrel in reducing cardiovascular death, myocardial infarction, and stroke was seen primarily in smokers, with little benefit in nonsmokers.",040-127-855-969-060,24046285
2017,Annals of internal medicine,Interventions to Improve Follow-up of Positive Results on Fecal Blood Tests: A Systematic Review,"Background Fecal immunochemical testing is the most commonly used method for colorectal cancer screening worldwide. However, its effectiveness is frequently undermined by failure to obtain follow-up colonoscopy after positive test results. Purpose To evaluate interventions to improve rates of follow-up colonoscopy for adults after a positive result on a fecal test (guaiac or immunochemical). Data Sources English-language studies from the Cochrane Central Register of Controlled Trials, PubMed, and Embase from database inception through June 2017. Study Selection Randomized and nonrandomized studies reporting an intervention for colonoscopy follow-up of asymptomatic adults with positive fecal test results. Data Extraction Two reviewers independently extracted data and ranked study quality; 2 rated overall strength of evidence for each category of study type. Data Synthesis Twenty-three studies were eligible for analysis, including 7 randomized and 16 nonrandomized studies. Three were at low risk of bias. Eleven studies described patient-level interventions (changes to invitation, provision of results or follow-up appointments, and patient navigators), 5 provider-level interventions (reminders or performance data), and 7 system-level interventions (automated referral, precolonoscopy telephone calls, patient registries, and quality improvement efforts). Moderate evidence supported patient navigators and provider reminders or performance data. Evidence for system-level interventions was low. Seventeen studies reported the proportion of test-positive patients who completed colonoscopy compared with a control population, with absolute differences of -7.4 percentage points (95% CI, -19 to 4.3 percentage points) to 25 percentage points (CI, 14 to 35 percentage points). Limitation More than half of studies were at high or very high risk of bias; heterogeneous study designs and characteristics precluded meta-analysis. Conclusion Patient navigators and giving providers reminders or performance data may help improve colonoscopy rates of asymptomatic adults with positive fecal blood test results. Current evidence about useful system-level interventions is scant and insufficient. Primary Funding Source National Cancer Institute. (PROSPERO: CRD42016048286).",040-920-252-186-263,29049756
2016,JAMA,Association Between Palliative Care and Patient and Caregiver Outcomes: A Systematic Review and Meta-analysis.,"Importance The use of palliative care programs and the number of trials assessing their effectiveness have increased. Objective To determine the association of palliative care with quality of life (QOL), symptom burden, survival, and other outcomes for people with life-limiting illness and for their caregivers. Data Sources MEDLINE, EMBASE, CINAHL, and Cochrane CENTRAL to July 2016. Study Selection Randomized clinical trials of palliative care interventions in adults with life-limiting illness. Data Extraction and Synthesis Two reviewers independently extracted data. Narrative synthesis was conducted for all trials. Quality of life, symptom burden, and survival were analyzed using random-effects meta-analysis, with estimates of QOL translated to units of the Functional Assessment of Chronic Illness Therapy–palliative care scale (FACIT-Pal) instrument (range, 0-184 [worst-best]; minimal clinically important difference [MCID], 9 points); and symptom burden translated to the Edmonton Symptom Assessment Scale (ESAS) (range, 0-90 [best-worst]; MCID, 5.7 points). Main Outcomes and Measures Quality of life, symptom burden, survival, mood, advance care planning, site of death, health care satisfaction, resource utilization, and health care expenditures. Results Forty-three RCTs provided data on 12 731 patients (mean age, 67 years) and 2479 caregivers. Thirty-five trials used usual care as the control, and 14 took place in the ambulatory setting. In the meta-analysis, palliative care was associated with statistically and clinically significant improvements in patient QOL at the 1- to 3-month follow-up (standardized mean difference, 0.46; 95% CI, 0.08 to 0.83; FACIT-Pal mean difference, 11.36] and symptom burden at the 1- to 3-month follow-up (standardized mean difference, −0.66; 95% CI, −1.25 to −0.07; ESAS mean difference, −10.30). When analyses were limited to trials at low risk of bias (n = 5), the association between palliative care and QOL was attenuated but remained statistically significant (standardized mean difference, 0.20; 95% CI, 0.06 to 0.34; FACIT-Pal mean difference, 4.94), whereas the association with symptom burden was not statistically significant (standardized mean difference, −0.21; 95% CI, −0.42 to 0.00; ESAS mean difference, −3.28). There was no association between palliative care and survival (hazard ratio, 0.90; 95% CI, 0.69 to 1.17). Palliative care was associated consistently with improvements in advance care planning, patient and caregiver satisfaction, and lower health care utilization. Evidence of associations with other outcomes was mixed. Conclusions and Relevance In this meta-analysis, palliative care interventions were associated with improvements in patient QOL and symptom burden. Findings for caregiver outcomes were inconsistent. However, many associations were no longer significant when limited to trials at low risk of bias, and there was no significant association between palliative care and survival.",041-852-659-554-253,27893131
2020,BMJ (Clinical research ed.),"Occurrence, prevention, and management of the psychological effects of emerging virus outbreaks on healthcare workers: rapid review and meta-analysis.","OBJECTIVE: To examine the psychological effects on clinicians of working to manage novel viral outbreaks, and successful measures to manage stress and psychological distress. DESIGN: Rapid review and meta-analysis. DATA SOURCES: Cochrane Central Register of Controlled Trials, PubMed/Medline, PsycInfo, Scopus, Web of Science, Embase, and Google Scholar, searched up to late March 2020. ELIGIBILITY CRITERIA FOR STUDY SELECTION: Any study that described the psychological reactions of healthcare staff working with patients in an outbreak of any emerging virus in any clinical setting, irrespective of any comparison with other clinicians or the general population. RESULTS: 59 papers met the inclusion criteria: 37 were of severe acute respiratory syndrome (SARS), eight of coronavirus disease 2019 (covid-19), seven of Middle East respiratory syndrome (MERS), three each of Ebola virus disease and influenza A virus subtype H1N1, and one of influenza A virus subtype H7N9. Of the 38 studies that compared psychological outcomes of healthcare workers in direct contact with affected patients, 25 contained data that could be combined in a pairwise meta-analysis comparing healthcare workers at high and low risk of exposure. Compared with lower risk controls, staff in contact with affected patients had greater levels of both acute or post-traumatic stress (odds ratio 1.71, 95% confidence interval 1.28 to 2.29) and psychological distress (1.74, 1.50 to 2.03), with similar results for continuous outcomes. These findings were the same as in the other studies not included in the meta-analysis. Risk factors for psychological distress included being younger, being more junior, being the parents of dependent children, or having an infected family member. Longer quarantine, lack of practical support, and stigma also contributed. Clear communication, access to adequate personal protection, adequate rest, and both practical and psychological support were associated with reduced morbidity. CONCLUSIONS: Effective interventions are available to help mitigate the psychological distress experienced by staff caring for patients in an emerging disease outbreak. These interventions were similar despite the wide range of settings and types of outbreaks covered in this review, and thus could be applicable to the current covid-19 outbreak.",041-935-153-818-630,32371466
2015,BMJ (Clinical research ed.),"Methotrexate use and risk of lung disease in psoriasis, psoriatic arthritis, and inflammatory bowel disease: systematic literature review and meta-analysis of randomised controlled trials.","Objective To evaluate the relative risk of pulmonary disease among patients with psoriasis, psoriatic arthritis, and inflammatory bowel disease treated with methotrexate. Data sources PubMed, Cochrane central register of controlled trials, and Embase to 9 January 2014. Study selection Double blind randomised controlled trials of methotrexate versus placebo or active comparator agents in adults with psoriatic arthritis, psoriasis, or inflammatory bowel disease. Studies with fewer than 50 participants or of less than 12 weeks’ duration were excluded. Data synthesis Two investigators independently searched both databases. All authors reviewed selected studies. We compared relative risk differences using the Mantel-Haenszel random effects method to assess total respiratory adverse events, infectious respiratory adverse events, non-infectious respiratory adverse events, interstitial lung disease, and death. Results Seven studies met our inclusion criteria, six with placebo as the comparator. Heterogeneity across the studies was not significant (I 2 =0%), allowing combination of trial results. 504 respiratory adverse events were documented in 1630 participants. Methotrexate was not associated with an increased risk of adverse respiratory events (relative risk 1.03, 95% confidence interval 0.90 to 1.17), respiratory infections (1.02, 0.88 to 1.19), or non-infectious respiratory events (1.07, 0.58 to 1.96). No pulmonary deaths occurred. Conclusions Findings suggested that there was no increased risk of lung disease in methotrexate treated patients with non-malignant inflammatory diseases. Given the limitations of the study, however, we cannot exclude a small but clinically important risk.",045-319-473-259-512,25770113
2013,BMJ (Clinical research ed.),Coronary artery calcium score prediction of all cause mortality and cardiovascular events in people with type 2 diabetes: systematic review and meta-analysis,"Objective To investigate the association of coronary artery calcium score with all cause mortality and cardiovascular events in people with type 2 diabetes. Design Systematic review and meta-analysis of observational studies. Data sources Studies were identified from Embase, PubMed, and abstracts from the 2011 and 2012 annual meetings of the American Diabetes Association, European Association for the Study of Diabetes, American College of Cardiology, and American Heart Association (2011). Eligibility criteria Prospective studies that evaluated baseline coronary artery calcium score in people with type 2 diabetes and subsequent all cause mortality or cardiovascular events (fatal and non-fatal). Data extraction Two independent reviewers extracted the data. The predictive value of the coronary artery calcium score was assessed by random effects model. Results Eight studies were included (n=6521; 802 events; mean follow-up 5.18 years). The relative risk for all cause mortality or cardiovascular events, or both comparing a total coronary artery calcium score of ≥10 with a score of Conclusion In people with type 2 diabetes, a coronary artery calcium score of ≥10 predicts all cause mortality or cardiovascular events, or both, and cardiovascular events alone, with high sensitivity but low specificity. Clinically, the finding of a coronary artery calcium score of",051-604-917-395-831,23529983
2016,Annals of internal medicine,Diagnosis of Gout: A Systematic Review in Support of an American College of Physicians Clinical Practice Guideline.,"<AbstractText Label=""BACKGROUND"" NlmCategory=""BACKGROUND"">Alternative strategies exist for diagnosing gout that do not rely solely on the documentation of monosodium urate (MSU) crystals.</AbstractText>           <AbstractText Label=""PURPOSE"" NlmCategory=""OBJECTIVE"">To summarize evidence regarding the accuracy of clinical tests and classification algorithms compared with that of a reference standard of MSU crystals in joint aspirate for diagnosing gout.</AbstractText>           <AbstractText Label=""DATA SOURCES"" NlmCategory=""METHODS"">Several electronic databases from inception to 29 February 2016.</AbstractText>           <AbstractText Label=""STUDY SELECTION"" NlmCategory=""METHODS"">21 prospective cohort, cross-sectional, and case-control studies including participants with joint inflammation and no previous definitive gout diagnosis who had MSU analysis of joint aspirate.</AbstractText>           <AbstractText Label=""DATA EXTRACTION"" NlmCategory=""METHODS"">Data extraction and risk-of-bias assessment by 2 reviewers independently; overall strength of evidence (SOE) judgment by group.</AbstractText>           <AbstractText Label=""DATA SYNTHESIS"" NlmCategory=""RESULTS"">Recently developed algorithms including clinical, laboratory, and imaging criteria demonstrated good sensitivity (up to 88%) and fair to good specificity (up to 96%) for diagnosing gout (moderate SOE). Three studies of dual-energy computed tomography (DECT) showed sensitivities of 85% to 100% and specificities of 83% to 92% for diagnosing gout (low SOE). Six studies of ultrasonography showed sensitivities of 37% to 100% and specificities of 68% to 97%, depending on the ultrasonography signs assessed (pooled sensitivity and specificity for the double contour sign: 74% [95% CI, 52% to 88%] and 88% [CI, 68% to 96%], respectively [low SOE]).</AbstractText>           <AbstractText Label=""LIMITATION"" NlmCategory=""CONCLUSIONS"">Important study heterogeneity and selection bias; scant evidence in primary and urgent care settings and in patients with conditions that may be confused with or occur with gout.</AbstractText>           <AbstractText Label=""CONCLUSION"" NlmCategory=""CONCLUSIONS"">Multidimensional algorithms, which must be validated in primary and urgent care settings, may help clinicians make a provisional diagnosis of gout. Although DECT and ultrasonography also show promise for gout diagnosis, accessibility to these methods may be limited.</AbstractText>           <AbstractText Label=""PRIMARY FUNDING SOURCE"" NlmCategory=""BACKGROUND"">Agency for Healthcare Research and Quality. (Protocol registration: https://effectivehealthcare.ahrq.gov/ehc/products/564/1937/gout-protocol-140716.pdf).</AbstractText>",052-212-541-146-936,27802478
2015,BMJ (Clinical research ed.),Quantifying and monitoring overdiagnosis in cancer screening: a systematic review of methods,"Objective To determine the optimal method for quantifying and monitoring overdiagnosis in cancer screening over time. Design Systematic review of primary research studies of any design that quantified overdiagnosis from screening for nine types of cancer. We used explicit criteria to critically appraise individual studies and assess strength of the body of evidence for each study design (double blinded review), and assessed the potential for each study design to accurately quantify and monitor overdiagnosis over time. Data sources PubMed and Embase up to 28 February 2014; hand searching of systematic reviews. Eligibility criteria for selecting studies English language studies of any design that quantified overdiagnosis for any of nine common cancers (prostate, breast, lung, colorectal, melanoma, bladder, renal, thyroid, and uterine); excluded case series, case reports, and reviews that only reported results of other studies. Results 52 studies met the inclusion criteria. We grouped studies into four methodological categories: (1) follow-up of a well designed randomized controlled trial (n=3), which has low risk of bias but may not be generalizable and is not suitable for monitoring; (2) pathological or imaging studies (n=8), drawing conclusions about overdiagnosis by examining biological characteristics of cancers, a simple design limited by the uncertain assumption that the measured characteristics are highly correlated with disease progression; (3) modeling studies (n=21), which can be done in a shorter time frame but require complex mathematical equations simulating the natural course of screen detected cancer, the fundamental unknown question; and (4) ecological and cohort studies (n=20), which are suitable for monitoring over time but are limited by a lack of agreed standards, by variable data quality, by inadequate follow-up time, and by the potential for population level confounders. Some ecological and cohort studies, however, have addressed these potential weaknesses in reasonable ways. Conclusions Well conducted ecological and cohort studies in multiple settings are the most appropriate approach for quantifying and monitoring overdiagnosis in cancer screening programs. To support this work, we need internationally agreed standards for ecological and cohort studies and a multinational team of unbiased researchers to perform ongoing analysis.",055-004-846-440-16X,25569206
2019,"Lancet (London, England)",Population-level impact and herd effects following the introduction of human papillomavirus vaccination programmes : updated systematic review and meta-analysis,"Summary Background More than 10 years have elapsed since human papillomavirus (HPV) vaccination was implemented. We did a systematic review and meta-analysis of the population-level impact of vaccinating girls and women against human papillomavirus on HPV infections, anogenital wart diagnoses, and cervical intraepithelial neoplasia grade 2+ (CIN2+) to summarise the most recent evidence about the effectiveness of HPV vaccines in real-world settings and to quantify the impact of multiple age-cohort vaccination. Methods In this updated systematic review and meta-analysis, we used the same search strategy as in our previous paper. We searched MEDLINE and Embase for studies published between Feb 1, 2014, and Oct 11, 2018. Studies were eligible if they compared the frequency (prevalence or incidence) of at least one HPV-related endpoint (genital HPV infections, anogenital wart diagnoses, or histologically confirmed CIN2+) between pre-vaccination and post-vaccination periods among the general population and if they used the same population sources and recruitment methods before and after vaccination. Our primary assessment was the relative risk (RR) comparing the frequency (prevalence or incidence) of HPV-related endpoints between the pre-vaccination and post-vaccination periods. We stratified all analyses by sex, age, and years since introduction of HPV vaccination. We used random-effects models to estimate pooled relative risks. Findings We identified 1702 potentially eligible articles for this systematic review and meta-analysis, and included 65 articles in 14 high-income countries: 23 for HPV infection, 29 for anogenital warts, and 13 for CIN2+. After 5–8 years of vaccination, the prevalence of HPV 16 and 18 decreased significantly by 83% (RR 0·17, 95% CI 0·11–0·25) among girls aged 13–19 years, and decreased significantly by 66% (RR 0·34, 95% CI 0·23–0·49) among women aged 20–24 years. The prevalence of HPV 31, 33, and 45 decreased significantly by 54% (RR 0·46, 95% CI 0·33–0·66) among girls aged 13–19 years. Anogenital wart diagnoses decreased significantly by 67% (RR 0·33, 95% CI 0·24–0·46) among girls aged 15–19 years, decreased significantly by 54% (RR 0·46, 95% CI 0.36–0.60) among women aged 20–24 years, and decreased significantly by 31% (RR 0·69, 95% CI 0·53–0·89) among women aged 25–29 years. Among boys aged 15–19 years anogenital wart diagnoses decreased significantly by 48% (RR 0·52, 95% CI 0·37–0·75) and among men aged 20–24 years they decreased significantly by 32% (RR 0·68, 95% CI 0·47–0·98). After 5–9 years of vaccination, CIN2+ decreased significantly by 51% (RR 0·49, 95% CI 0·42–0·58) among screened girls aged 15–19 years and decreased significantly by 31% (RR 0·69, 95% CI 0·57–0·84) among women aged 20–24 years. Interpretation This updated systematic review and meta-analysis includes data from 60 million individuals and up to 8 years of post-vaccination follow-up. Our results show compelling evidence of the substantial impact of HPV vaccination programmes on HPV infections and CIN2+ among girls and women, and on anogenital warts diagnoses among girls, women, boys, and men. Additionally, programmes with multi-cohort vaccination and high vaccination coverage had a greater direct impact and herd effects. Funding WHO, Canadian Institutes of Health Research, Fonds de recherche du Quebec – Sante.",056-568-824-493-818,31255301
2015,BMJ (Clinical research ed.),Calcium intake and bone mineral density: systematic review and meta-analysis.,"Objective To determine whether increasing calcium intake from dietary sources affects bone mineral density (BMD) and, if so, whether the effects are similar to those of calcium supplements. Design Random effects meta-analysis of randomised controlled trials. Data sources Ovid Medline, Embase, Pubmed, and references from relevant systematic reviews. Initial searches were undertaken in July 2013 and updated in September 2014. Eligibility criteria for selecting studies Randomised controlled trials of dietary sources of calcium or calcium supplements (with or without vitamin D) in participants aged over 50 with BMD at the lumbar spine, total hip, femoral neck, total body, or forearm as an outcome. Results We identified 59 eligible randomised controlled trials: 15 studied dietary sources of calcium (n=1533) and 51 studied calcium supplements (n=12 257). Increasing calcium intake from dietary sources increased BMD by 0.6-1.0% at the total hip and total body at one year and by 0.7-1.8% at these sites and the lumbar spine and femoral neck at two years. There was no effect on BMD in the forearm. Calcium supplements increased BMD by 0.7-1.8% at all five skeletal sites at one, two, and over two and a half years, but the size of the increase in BMD at later time points was similar to the increase at one year. Increases in BMD were similar in trials of dietary sources of calcium and calcium supplements (except at the forearm), in trials of calcium monotherapy versus co-administered calcium and vitamin D, in trials with calcium doses of ≥1000 versus 500 mg/day, and in trials where the baseline dietary calcium intake was Conclusions Increasing calcium intake from dietary sources or by taking calcium supplements produces small non-progressive increases in BMD, which are unlikely to lead to a clinically significant reduction in risk of fracture.",058-981-227-679-456,26420598
